    [ 0.49 0.58 0.64 0.47 0.55 0.63 0.50 0.49 0.30 0.44 1.00 0.38 0.41 0.30 0.15 0.70 0.63 0.39 0.32 0.55 0.58 0.30 0.63 0.44 0.37 0.37 0.28 0.39 0.67 0.26 0.64 0.73 0.44 0.47 0.72 0.55 0.51 0.56 0.60 0.54 ]
    [ 0.67 0.61 0.52 0.27 0.34 0.50 0.58 0.61 0.91 0.40 0.38 1.00 0.48 0.33 0.38 0.70 0.58 0.53 0.29 0.51 0.40 0.45 0.42 0.22 0.55 0.37 0.61 0.27 0.55 0.28 0.61 0.25 0.49 0.55 0.80 0.71 0.76 0.57 0.25 0.26 ]
    [ 0.45 0.42 0.52 0.66 0.57 0.41 0.67 0.59 0.57 0.20 0.41 0.48 1.00 0.60 0.73 0.52 0.46 0.28 0.59 0.73 0.32 0.45 0.58 0.51 0.41 0.21 0.39 0.21 0.62 0.33 0.79 0.43 0.53 0.21 0.52 0.31 0.67 0.21 0.50 0.23 ]
    [ 0.67 0.49 0.29 0.52 0.53 0.70 0.44 0.54 0.16 0.55 0.30 0.33 0.60 1.00 0.77 0.65 0.56 0.58 0.34 0.56 0.16 0.44 0.58 0.61 0.44 0.22 0.61 0.62 0.61 0.69 0.55 0.56 0.57 0.40 0.21 0.61 0.83 0.48 0.28 0.57 ]
    [ 0.40 0.42 0.86 0.58 0.58 0.65 0.49 0.41 0.45 0.71 0.15 0.38 0.73 0.77 1.00 0.62 0.58 0.69 0.45 0.19 0.75 0.35 0.33 0.53 0.64 0.38 0.53 0.45 0.49 0.37 0.21 0.73 0.50 0.45 0.35 0.44 0.14 0.27 0.49 0.68 ]
    [ 0.58 0.54 0.58 0.32 0.39 0.55 0.60 0.86 0.65 0.63 0.70 0.70 0.52 0.65 0.62 1.00 0.54 0.58 0.38 0.40 0.56 0.35 0.67 0.71 0.39 0.73 0.37 0.70 0.41 0.47 0.45 0.59 0.28 0.57 0.60 0.80 0.56 0.82 0.59 0.62 ]
    [ 0.77 0.32 0.46 0.23 0.45 0.52 0.35 0.31 0.41 0.47 0.63 0.58 0.46 0.56 0.58 0.54 1.00 0.52 0.81 0.71 0.55 0.48 0.07 0.65 0.22 0.29 0.49 0.64 0.52 0.38 0.66 0.53 0.40 0.45 0.52 0.23 0.43 0.41 0.74 0.76 ]
    [ 0.00 0.33 0.59 0.33 0.30 0.55 0.42 0.53 0.39 0.50 0.39 0.53 0.28 0.58 0.69 0.58 0.52 1.00 0.70 0.56 0.38 0.49 0.54 0.67 0.38 0.29 0.23 0.42 0.57 0.51 0.60 0.40 0.53 0.59 0.46 0.46 0.46 0.50 0.38 0.52 ]
    [ 0.50 0.36 0.79 0.20 0.44 0.43 0.63 0.58 0.33 0.21 0.32 0.29 0.59 0.34 0.45 0.38 0.81 0.70 1.00 0.40 0.56 0.76 0.73 0.46 0.40 0.34 0.58 0.36 0.70 0.52 0.59 0.55 0.42 0.45 0.83 0.54 0.49 0.48 0.59 0.66 ]
    [ 0.36 0.37 0.59 0.34 0.18 0.52 0.25 0.52 0.75 0.62 0.55 0.51 0.73 0.56 0.19 0.40 0.71 0.56 0.40 1.00 0.53 0.40 0.77 0.37 0.49 0.13 0.43 0.40 0.30 0.08 0.63 0.59 0.71 0.55 0.41 0.55 0.60 0.80 0.64 0.42 ]
    [ 0.39 0.60 0.52 0.43 0.29 0.46 0.45 0.31 0.55 0.52 0.58 0.40 0.32 0.16 0.75 0.56 0.55 0.38 0.56 0.53 1.00 0.48 0.49 0.33 0.59 0.12 0.70 0.64 0.52 0.67 0.58 0.62 0.61 0.50 0.75 0.79 0.40 0.45 0.55 0.52 ]
    [ 0.58 0.52 0.41 0.46 0.30 0.64 0.68 0.37 0.52 0.64 0.30 0.45 0.45 0.44 0.35 0.35 0.48 0.49 0.76 0.40 0.48 1.00 0.42 0.18 0.48 0.49 0.60 0.54 0.34 0.56 0.55 0.31 0.73 0.27 0.57 0.28 0.44 0.12 0.26 0.27 ]
    [ 0.35 0.63 0.50 0.59 0.41 0.40 0.18 0.45 0.39 0.28 0.63 0.42 0.58 0.58 0.33 0.67 0.07 0.54 0.73 0.77 0.49 0.42 1.00 0.74 0.47 0.42 0.31 0.21 0.62 0.60 0.55 0.43 0.46 0.46 0.65 0.44 0.42 0.56 0.75 0.34 ]
    [ 0.47 0.32 0.38 0.43 0.45 0.50 1.00 0.46 0.38 0.52 0.44 0.22 0.51 0.61 0.53 0.71 0.65 0.67 0.46 0.37 0.33 0.18 0.74 1.00 0.20 0.64 0.47 0.68 0.79 0.27 0.36 0.74 0.78 0.64 0.47 0.47 0.62 0.72 0.49 0.54 ]
    [ 0.39 0.71 0.54 0.67 0.66 0.55 0.69 0.31 0.47 0.53 0.37 0.55 0.41 0.44 0.64 0.39 0.22 0.38 0.40 0.49 0.59 0.48 0.47 0.20 1.00 0.48 0.38 0.66 0.29 0.62 0.24 0.73 0.61 0.72 0.57 0.34 0.40 0.71 0.35 0.36 ]
    [ 0.49 0.35 0.55 0.35 0.62 0.48 0.37 0.43 0.82 0.31 0.37 0.37 0.21 0.22 0.38 0.73 0.29 0.29 0.34 0.13 0.12 0.49 0.42 0.64 0.48 1.00 0.70 0.51 0.65 0.36 0.47 0.31 0.33 0.41 0.40 0.50 0.48 0.25 0.57 0.44 ]
    [ 0.35 0.51 0.51 0.63 0.43 0.45 0.41 0.40 0.74 0.56 0.28 0.61 0.39 0.61 0.53 0.37 0.49 0.23 0.58 0.43 0.70 0.60 0.31 0.47 0.38 0.70 1.00 0.51 0.48 0.66 0.83 0.66 0.21 0.56 0.55 0.47 0.22 0.64 0.39 0.71 ]
    [ 0.56 0.55 0.40 0.76 0.71 0.42 0.62 0.21 0.61 0.44 0.39 0.27 0.21 0.62 0.45 0.70 0.64 0.42 0.36 0.40 0.64 0.54 0.21 0.68 0.66 0.51 0.51 1.00 0.42 0.39 0.70 0.64 0.47 0.39 0.78 0.34 0.53 0.58 0.65 0.21 ]
    [ 0.64 0.59 0.31 0.37 0.63 0.48 0.63 0.54 0.55 0.25 0.67 0.55 0.62 0.61 0.49 0.41 0.52 0.57 0.70 0.30 0.52 0.34 0.62 0.79 0.29 0.65 0.48 0.42 1.00 0.46 0.62 0.50 0.55 0.83 0.77 0.42 0.31 0.68 0.50 0.61 ]
    [ 0.27 0.56 0.56 0.67 0.58 0.39 0.44 0.65 0.62 0.56 0.26 0.28 0.33 0.69 0.37 0.47 0.38 0.51 0.52 0.08 0.67 0.56 0.60 0.27 0.62 0.36 0.66 0.39 0.46 1.00 0.51 0.32 0.73 0.40 0.40 0.59 0.37 0.65 0.62 0.64 ]
    [ 0.58 0.47 0.44 0.38 0.55 0.58 0.81 0.60 0.65 0.55 0.64 0.61 0.79 0.55 0.21 0.45 0.66 0.60 0.59 0.63 0.58 0.55 0.55 0.36 0.24 0.47 0.83 0.70 0.62 0.51 1.00 0.65 0.60 0.37 0.44 0.42 0.55 0.61 0.53 0.50 ]
    [ 0.52 0.36 0.30 0.52 0.90 0.45 0.53 0.61 0.52 0.70 0.73 0.25 0.43 0.56 0.73 0.59 0.53 0.40 0.55 0.59 0.62 0.31 0.43 0.74 0.73 0.31 0.66 0.64 0.50 0.32 0.65 1.00 0.48 0.44 0.36 0.59 0.68 0.22 0.54 0.55 ]
    [ 0.34 0.66 0.66 0.50 0.54 0.98 0.35 0.51 0.42 0.38 0.44 0.49 0.53 0.57 0.50 0.28 0.40 0.53 0.42 0.71 0.61 0.73 0.46 0.78 0.61 0.33 0.21 0.47 0.55 0.73 0.60 0.48 1.00 0.55 0.36 0.63 0.43 0.54 0.59 0.61 ]
    [ 0.46 0.60 0.69 0.77 0.52 0.43 0.52 0.44 0.48 0.22 0.47 0.55 0.21 0.40 0.45 0.57 0.45 0.59 0.45 0.55 0.50 0.27 0.46 0.64 0.72 0.41 0.56 0.39 0.83 0.40 0.37 0.44 0.55 1.00 0.48 0.45 0.72 0.54 0.46 0.80 ]
    [ 0.50 0.48 0.41 0.45 0.71 0.71 0.42 0.54 0.46 0.25 0.72 0.80 0.52 0.21 0.35 0.60 0.52 0.46 0.83 0.41 0.75 0.57 0.65 0.47 0.57 0.40 0.55 0.78 0.77 0.40 0.44 0.36 0.36 0.48 1.00 0.52 0.56 0.60 0.65 0.80 ]
    [ 0.68 0.39 0.28 0.40 0.37 0.45 0.41 0.47 0.45 0.56 0.55 0.71 0.31 0.61 0.44 0.80 0.23 0.46 0.54 0.55 0.79 0.28 0.44 0.47 0.34 0.50 0.47 0.34 0.42 0.59 0.42 0.59 0.63 0.45 0.52 1.00 0.42 0.30 0.46 0.72 ]
    [ 0.53 0.33 0.59 0.31 0.42 0.36 0.44 0.78 0.39 0.60 0.51 0.76 0.67 0.83 0.14 0.56 0.43 0.46 0.49 0.60 0.40 0.44 0.42 0.62 0.40 0.48 0.22 0.53 0.31 0.37 0.55 0.68 0.43 0.72 0.56 0.42 1.00 0.67 0.18 0.55 ]
    [ 0.31 0.50 0.30 0.24 0.15 0.43 0.13 0.36 0.38 0.45 0.56 0.57 0.21 0.48 0.27 0.82 0.41 0.50 0.48 0.80 0.45 0.12 0.56 0.72 0.71 0.25 0.64 0.58 0.68 0.65 0.61 0.22 0.54 0.54 0.60 0.30 0.67 1.00 0.78 0.44 ]
    [ 0.29 0.73 0.64 0.39 0.38 0.62 0.50 0.15 0.43 0.45 0.60 0.25 0.50 0.28 0.49 0.59 0.74 0.38 0.59 0.64 0.55 0.26 0.75 0.49 0.35 0.57 0.39 0.65 0.50 0.62 0.53 0.54 0.59 0.46 0.65 0.46 0.18 0.78 1.00 0.50 ]
    [ 0.75 0.46 0.60 0.57 0.45 0.10 0.39 0.24 0.59 0.48 0.54 0.26 0.23 0.57 0.68 0.62 0.76 0.52 0.66 0.42 0.52 0.27 0.34 0.54 0.36 0.44 0.71 0.21 0.61 0.64 0.50 0.55 0.61 0.80 0.80 0.72 0.55 0.44 0.50 1.00 ]
];
